date,title,outcome,side,size,usdcSize,price,type
2026-02-14 22:11:47,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,65,14.3,0.22,TRADE
2026-02-14 22:11:47,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,25.22,5.5484,0.22,TRADE
2026-02-14 22:34:07,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,3.95,3.0415,0.77,TRADE
2026-02-14 22:34:27,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,46.05,35.4585,0.77,TRADE
2026-02-14 22:36:29,Will AfD win 2nd most seats in 2026 Rhineland-Palatinate?,No,BUY,1.36,1.1696,0.86,TRADE
2026-02-14 22:41:23,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,3.17,2.47577,0.781,TRADE
2026-02-14 22:47:13,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,46.83,36.5742,0.781,TRADE
2026-02-14 22:55:49,Bad Bunny SB halftime 75M-100M views 7d?,Yes,SELL,1.253131,0.999998,0.798,TRADE
2026-02-14 22:56:59,Bad Bunny SB halftime 75M-100M views 7d?,Yes,SELL,1.383578,1.105478,0.799,TRADE
2026-02-14 22:56:59,Bad Bunny SB halftime 75M-100M views 7d?,Yes,SELL,48.74,38.89452,0.798,TRADE
2026-02-14 22:59:19,Bad Bunny SB halftime 75M-100M views 7d?,Yes,SELL,7.859823,6.279998,0.799,TRADE
2026-02-14 23:00:41,Bad Bunny SB halftime 75M-100M views 7d?,Yes,SELL,40.75,32.55925,0.799,TRADE
2026-02-14 23:00:53,Will Marco Rubio win the 2028 US Presidential Election?,Yes,BUY,22.2,1.6206,0.073,TRADE
2026-02-14 23:13:53,Will Marco Rubio win the 2028 US Presidential Election?,Yes,BUY,107,7.811,0.073,TRADE
2026-02-14 23:14:39,Will Marco Rubio win the 2028 US Presidential Election?,Yes,BUY,5,0.365,0.073,TRADE
2026-02-14 23:16:59,Will Marco Rubio win the 2028 US Presidential Election?,Yes,BUY,48.89,3.56897,0.073,TRADE
2026-02-14 23:23:21,Will Marco Rubio win the 2028 US Presidential Election?,Yes,BUY,13.57,0.99061,0.073,TRADE
2026-02-14 23:26:19,Will Marco Rubio win the 2028 US Presidential Election?,Yes,BUY,3.34,0.24382,0.073,TRADE
2026-02-15 00:37:51,,,,0.0136,0.0136,0,YIELD
2026-02-15 01:05:11,Will Marco Rubio win the 2028 US Presidential Election?,Yes,BUY,101.01,7.27272,0.072,TRADE
2026-02-15 01:05:21,Will Marco Rubio win the 2028 US Presidential Election?,Yes,BUY,46.16,3.32352,0.072,TRADE
2026-02-15 01:10:19,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,1.23,0.98646,0.802,TRADE
2026-02-15 01:10:43,Will Marco Rubio win the 2028 US Presidential Election?,Yes,BUY,48.78,3.51216,0.072,TRADE
2026-02-15 01:11:11,Will Marco Rubio win the 2028 US Presidential Election?,Yes,BUY,4.05,0.2916,0.072,TRADE
2026-02-15 02:06:45,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,6.19,5.3234,0.86,TRADE
2026-02-15 02:06:47,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,31.08,26.7288,0.86,TRADE
2026-02-15 02:06:49,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,6.02,5.1772,0.86,TRADE
2026-02-15 02:06:51,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,4.09,3.5174,0.86,TRADE
2026-02-15 02:13:05,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,5.651596,4.837767,0.856,TRADE
2026-02-15 02:13:05,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,30,25.68,0.856,TRADE
2026-02-15 02:13:05,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,14.34,12.27504,0.856,TRADE
2026-02-15 02:23:13,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,50,42.6,0.852,TRADE
2026-02-15 02:45:47,"Will US or Israel strike Iran by February 28, 2026?",No,BUY,200,174,0.87,TRADE
2026-02-15 03:07:49,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,50,43.65,0.873,TRADE
2026-02-15 03:09:39,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,48.359375,42.169375,0.872,TRADE
2026-02-15 03:25:49,Will Google Gemini score at least 60% on FrontierMath?,No,BUY,18,13.14,0.73,TRADE
2026-02-15 04:13:17,Will Marco Rubio win the 2028 US Presidential Election?,Yes,BUY,25.03,1.77713,0.071,TRADE
2026-02-15 04:14:53,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,15,13.44,0.896,TRADE
